year,tons_surplus,tons_supply,us_dollars_surplus,tons_waste,tons_uneaten,tons_inedible_parts,tons_not_fit_for_human_consumption,tons_donated,tons_biomaterial_processing,tons_animal_feed,tons_anaerobically_digested,tons_composted,tons_not_harvested,tons_incinerated,tons_land_application,tons_landfilled,tons_sewer,tons_refuse_discards,upstream_mtco2e_footprint,downstream_mtco2e_footprint,total_mtco2e_footprint,gallons_water_footprint,meals_wasted,sector_farm,sector_foodservice,sector_manufacturing,sector_residential,sector_retail,food_type_breads_&_bakery,food_type_dairy_&_eggs,food_type_dry_goods,food_type_fresh_meat_&_seafood,food_type_frozen,food_type_prepared_foods,food_type_produce,food_type_ready-to-drink_beverages
2022,258110.7427,1095842.382,92800044.74,255891.8563,257679.42,77433.22282,129335.4058,431.3226987,0.0,1787.563728,0.0,0.0,254952.382,49.41966769,0.0,329.3343685,0.0,560.7202743,54358.17179,10905.05773,65263.22952,8316598142.0,429465700.1,1,0,0,0,0,0,0,0,0,0,0,1,0
2022,38106.0,125106.0,210056478.0,38106.0,38106.0,1524.24,15085.88201,0.0,0.0,0.0,0.0,0.0,38106.0,0.0,0.0,0.0,0.0,0.0,8031.841787,1627.756222,9659.598009,1228841927.0,63510000.0,1,0,0,0,0,0,0,0,0,0,0,1,0
2022,138969.3318,500865.0805,186003386.8,96176.56864,135964.9873,38911.41291,70386.92455,3004.34454,0.0,39788.41863,0.0,0.0,79390.08048,39.88744785,0.0,1538.712856,0.0,15207.88786,28974.82011,1223.728243,30198.54836,4433039659.0,226608312.1,1,0,0,0,0,0,0,0,0,0,0,1,0
2022,234647.3658,556395.5046,155497660.9,223513.1629,233865.6686,11732.36829,146837.4687,781.6971669,0.0,10352.50575,0.0,0.0,219145.5046,38.37348063,0.0,372.3608305,0.0,3956.923946,49375.72268,8815.273492,58190.99618,7554301948.0,389776114.3,1,0,0,0,0,0,0,0,0,0,0,1,0
2022,482917.1253,1897462.125,1116461543.0,482917.1253,482917.1253,28975.02752,193089.7232,0.0,0.0,0.0,0.0,0.0,482917.1253,0.0,0.0,0.0,0.0,0.0,101787.4861,20628.54552,122416.0317,15573106884.0,804861875.6,1,0,0,0,0,0,0,0,0,0,0,1,0
2022,211406.6731,3538134.113,71642836.1,174314.8786,208802.5755,135300.2708,147548.9776,2604.097564,0.0,34487.69695,0.0,0.0,159764.7322,240.7162762,0.0,1127.578588,0.0,13181.85155,44285.0763,5079.153714,49364.23002,6775451935.0,348004292.5,1,0,0,0,0,0,0,0,0,0,0,1,0
2022,554017.867,12889405.55,116496980.8,496766.8431,549998.4537,49861.60803,302527.0328,4019.413294,0.0,53231.61064,0.0,0.0,474308.7552,129.6798959,0.0,1982.277292,0.0,20346.13068,116350.2397,17410.30571,133760.5454,17801153927.0,916664089.5,1,0,0,0,0,0,0,0,0,0,0,1,0
2022,1368247.114,3265423.875,559290574.7,1311828.951,1357280.156,656758.6147,656491.6364,10966.95799,0.0,45451.20482,0.0,0.0,1287941.557,907.6885939,0.0,8722.640665,0.0,14257.06487,287238.2821,55156.27111,342394.5532,43946388796.0,2262133593.0,1,0,0,0,0,0,0,0,0,0,0,1,0
2022,484.4104746,30274.25801,2707663.435,472.7153829,473.985395,70.19263987,133.3654043,10.42507956,0.0,1.270012112,0.077245494,47.75136214,0.0,39.8679847,0.0,383.8859024,1.132888157,0.0,1134.25896,592.3419602,1726.600921,9287063.637,789975.6584,0,1,0,0,0,1,0,0,0,0,0,0,0
2022,230.4397894,14401.82243,1365820.971,224.876296,225.4804558,4.972369057,28.54426579,4.959333591,0.0,0.604159776,0.036746595,22.71588748,0.0,18.96567163,0.0,182.619062,0.538928289,0.0,1218.576051,102.6090241,1321.185075,65386882.23,375800.7596,0,1,0,0,0,0,1,0,0,0,0,0,0
2022,411.9099125,25743.18192,1591304.276,401.9651974,403.0451298,9.184681025,199.2596211,8.864782734,0.0,1.079932424,0.065684345,40.6045295,0.0,33.90103838,0.0,326.4306137,0.963331485,0.0,1357.013631,342.751274,1699.764905,50576644.77,671741.883,0,1,0,0,0,0,0,1,0,0,0,0,0
2022,981.7119852,61354.1686,5938707.227,958.0105743,960.5843959,302.521337,358.3527068,21.12758929,0.0,2.573821536,0.15654663,96.77347411,0.0,80.79692835,0.0,777.9877007,2.295924511,0.0,14491.20852,630.976956,15122.18548,1145485934.0,1600973.993,0,1,0,0,0,0,0,0,1,0,0,0,0
2022,2.218904614,138.6751408,6582.247671,2.165333739,2.171151193,0.0,0.0,0.047753421,0.0,0.005817454,0.000353833,0.218731269,0.0,0.182620442,0.0,1.758438855,0.00518934,0.0,11.99017971,1.606668472,13.59684818,748140.9461,3618.585322,0,1,0,0,0,0,0,0,0,1,0,0,0
2022,26914.64092,0.0,307913550.5,26630.75912,26672.18656,946.4522846,0.0,242.4543588,0.0,41.42743331,0.836520657,2439.592233,0.0,2311.072951,0.0,21858.51847,20.7389523,0.0,126786.6184,17906.14368,144692.7621,12725352850.0,44453644.26,0,1,0,0,0,0,0,0,0,0,1,0,0
2022,781.5916295,48847.22336,3050273.798,762.7217118,764.7708641,474.6576533,467.1712076,16.82076534,0.0,2.049152296,0.12463486,77.04636234,0.0,64.32660886,0.0,619.3962016,1.827904117,0.0,1456.074179,230.0755287,1686.149707,35016835.91,1274618.107,0,1,0,0,0,0,0,0,0,0,0,1,0
2022,336.1819833,21010.40468,344138.2171,328.0655628,328.9469541,0.0,0.0,7.235029189,0.0,0.881391326,0.053608551,33.13955513,0.0,27.66847306,0.0,266.417699,0.786226986,0.0,1400.144473,267.6023204,1667.746794,8984869.39,548244.9235,0,1,0,0,0,0,0,0,0,0,0,0,1
2022,3107.745273,149070.2463,13451101.93,3025.132963,3034.695142,489.5125795,1084.599597,73.05013113,0.0,9.562179244,0.464060086,360.7176462,0.0,319.4215463,0.0,2335.945898,8.583812589,0.0,7269.561883,3615.94497,10885.50685,59521578.54,5057825.237,0,1,0,0,0,1,0,0,0,0,0,0,0
2022,4643.334751,222728.3751,17894027.13,4519.902302,4534.189315,413.9674443,1284.67526,109.1454359,0.0,14.28701366,0.69336002,538.9543333,0.0,477.2531324,0.0,3490.176256,12.8252195,0.0,24529.54089,2055.66796,26585.20885,1316216360.0,7556982.192,0,1,0,0,0,0,1,0,0,0,0,0,0
2022,10210.73348,489781.633,34725606.03,9939.304451,9970.721718,6625.278755,7399.722323,240.0117622,0.0,31.41726723,1.524704711,1185.165264,0.0,1049.483787,0.0,7674.927927,28.20276917,0.0,33604.93325,8180.511756,41785.44501,1252474354.0,16617869.53,0,1,0,0,0,0,0,1,0,0,0,0,0
2022,7940.281486,380874.1106,65129721.21,7729.207237,7753.638582,4752.283524,5365.762876,186.6429043,0.0,24.43134431,1.185672372,921.6326937,0.0,816.1212608,0.0,5968.335991,21.93161993,0.0,117090.1982,4968.170628,122058.3689,9255623836.0,12922730.97,0,1,0,0,0,0,0,0,1,0,0,0,0
2022,469.1528504,22504.01008,1391713.838,456.6814933,458.1250234,0.0,0.0,11.027827,0.0,1.443530036,0.070055649,54.45482078,0.0,48.22066024,0.0,352.6401233,1.295833406,0.0,2532.593852,329.0354528,2861.629305,158024083.6,763541.7056,0,1,0,0,0,0,0,0,0,1,0,0,0
2022,265718.0742,0.0,1983177907.0,263929.9093,264091.4537,9343.965583,0.0,1626.620497,0.0,161.5444149,5.613049228,25738.53942,0.0,29445.6415,0.0,208607.2177,132.8976968,0.0,1253531.115,175339.9451,1428871.06,125815000000.0,440152422.9,0,1,0,0,0,0,0,0,0,0,1,0,0
2022,6457.2322,309736.1945,22887756.14,6285.581429,6305.4496,5772.604764,5805.319028,151.7826004,0.0,19.8681701,0.964217935,749.4943746,0.0,663.6898822,0.0,4853.597622,17.83533275,0.0,12017.50009,1955.297678,13972.79777,289006449.8,10509082.67,0,1,0,0,0,0,0,0,0,0,0,1,0
2022,4219.390254,202392.8891,3954217.458,4107.227401,4120.209986,2026.308446,2906.373323,99.18026874,0.0,12.9825846,0.630055051,489.7468702,0.0,433.6790957,0.0,3171.517126,11.65425477,0.0,17555.4611,3240.17742,20795.63852,112655178.1,6867016.643,0,1,0,0,0,0,0,0,0,0,0,0,1
2022,929.8992507,58116.02209,4024837.463,899.7267211,903.6051742,134.7454001,256.0150864,26.29407647,0.0,3.878453124,0.11619341,147.0363429,0.0,100.265032,0.0,648.794394,3.514758748,0.0,2169.947609,1009.922488,3179.870097,17767055.15,1506008.624,0,1,0,0,0,1,0,0,0,0,0,0,0
2022,1389.378191,86832.13108,5354249.127,1344.296904,1350.091767,29.97963652,172.1004019,39.28642417,0.0,5.79486238,0.173606538,219.6894857,0.0,149.8076794,0.0,969.3746723,5.251460465,0.0,7322.017046,587.7548827,7909.771928,392887575.0,2250152.945,0,1,0,0,0,0,1,0,0,0,0,0,0
2022,3055.254719,190944.611,10390592.6,2956.120578,2968.863531,68.12543032,1477.966126,86.39118825,0.0,12.74295275,0.381762287,483.0990887,0.0,329.4283892,0.0,2131.663331,11.54800721,0.0,10030.99577,2299.797614,12330.79338,373860732.1,4948105.885,0,1,0,0,0,0,0,1,0,0,0,0,0
2022,2375.890285,148486.2927,19488109.1,2298.799547,2308.708985,732.1470213,867.2673124,67.18130034,0.0,9.909438138,0.296873875,375.6774924,0.0,256.1769088,0.0,1657.668072,8.980199908,0.0,34951.15655,1404.595092,36355.75164,2762782560.0,3847848.308,0,1,0,0,0,0,0,0,1,0,0,0,0
2022,140.3798721,8773.337264,416428.4848,135.824953,136.4104538,0.0,0.0,3.969418288,0.0,0.585500798,0.017540842,22.19696703,0.0,15.13625521,0.0,97.94359333,0.530596603,0.0,755.9734768,92.8266008,848.8000776,47169827.77,227350.7564,0,1,0,0,0,0,0,0,0,1,0,0,0
2022,267886.5668,0.0,3118917438.0,258496.8783,260590.2192,9420.220538,0.0,7296.347564,0.0,2093.340921,2.250714097,51415.34244,0.0,26294.11935,0.0,180175.0595,610.1062983,0.0,1250378.237,153533.4559,1403911.692,125498000000.0,434317032.0,0,1,0,0,0,0,0,0,0,0,1,0,0
2022,1932.132416,120752.7053,6848472.257,1869.440332,1877.498931,1173.37674,1154.869884,54.6334858,0.0,8.058598822,0.241425137,305.5101768,0.0,208.3293631,0.0,1348.056447,7.302919438,0.0,3587.196308,568.6842631,4155.880572,86267764.7,3129164.884,0,1,0,0,0,0,0,0,0,0,0,1,0
2022,1262.525558,78904.20728,1183180.579,1221.560271,1226.826053,0.0,0.0,35.69950567,0.0,5.265781419,0.157755961,199.6314555,0.0,136.1299791,0.0,880.8690875,4.771993038,0.0,5240.265012,911.9401371,6152.205149,33627313.19,2044710.088,0,1,0,0,0,0,0,0,0,0,0,0,1
2022,3319.122334,184028.1818,14365994.92,3223.829229,3235.359108,524.5247748,1730.681583,83.76322627,0.0,11.52987861,0.466276377,435.8886533,0.0,325.2524582,0.0,2451.828749,10.39309239,0.0,7757.211344,3800.922574,11558.13392,63514345.36,5392265.179,0,1,0,0,0,1,0,0,0,0,0,0,0
2022,4959.156791,274959.6175,19111111.06,4816.777752,4834.004738,511.8347945,2618.909274,125.1520524,0.0,17.22698655,0.696671417,651.2686058,0.0,485.9651964,0.0,3663.318783,15.52849504,0.0,26175.01362,2150.035598,28325.04922,1404509465.0,8056674.564,0,1,0,0,0,0,1,0,0,0,0,0,0
2022,10905.22889,604638.589,37087510.21,10592.13615,10630.01844,1257.779867,4785.480053,275.2104512,0.0,37.88229316,1.531986501,1432.145325,0.0,1068.641691,0.0,8055.669848,34.14729557,0.0,35859.18567,8587.637479,44446.82315,1336491583.0,17716697.4,0,1,0,0,0,0,0,1,0,0,0,0,0
